Feature ID	Taxon	Confidence
13ea3a1abc7883a0d1eb67e0e07512a6	d__Eukaryota	0.804146063
12af4a9565fc73fc6ac6601ec2df37ec	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_NK4A136_group	0.876758844
5db019205b40cb628eabd2f25d2cf281	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.978574626
33e7b2f80e1422e53821112d153c17d6	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus_bicirculans	0.988224247
3878307dd507414635b5565aa7deb7b6	Unassigned	0.757896892
091a661732f4a557722e19987c21afca	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_merdae	0.998585334
12a257d981961b84907bd52af4dc37e4	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus_bicirculans	0.944272454
72f28393f7cbe1338541cb4039c94cd4	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.999999669
cd6547aa13350dad79ed76960b48f0f4	Unassigned	0.917755383
17fb80a2f9f781d50ff5209a30a247ce	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.99999998
9dd832376ad90b0c89e33c56c8bbd4dd	Unassigned	0.839796594
82e3410799d87aaa31dbb14d1df916d7	Unassigned	0.407819669
83ea19929627c5c2e1239ea33c81fe38	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira; s__uncultured_bacterium	0.747200936
1e5b8e641a60b17cbb3de522225c8769	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999997881
0ff1b3e352871bc7e5465b95536e1796	Unassigned	0.95817274
